-agu:-ugaseru
ちぢれる	縮れる	ちぢらす	縮らす
なれる	慣れる	ならす	慣らす
なれる	馴れる	ならす	馴らす
ぬれる	ぬれる	ぬらす	ぬらす
ぬれる	濡れる	ぬらす	濡らす
はれる	はれる	はらす	はらす
はれる	晴れる	はらす	晴らす
はれる	腫れる	はらす	腫らす
ばれる	ばれる	ばらす	ばらす
むれる	蒸れる	むらす	蒸らす
もれる	もれる	もらす	もらす
もれる	洩れる	もらす	洩らす
もれる	漏れる	もらす	漏らす
じゃれる	じゃれる	じゃらす	じゃらす
ゆれる	揺れる	ゆらす	揺らす
-eru:-tu
たえる	絶える	たつ	絶つ
-eru:-yakasu
おびえる	脅える	おびやかす	脅かす
あまえる	甘える	あまやかす	甘やかす
-eru:-yasu
いえる	癒える	いやす	癒やす
こえる	肥える	こやす	肥やす
にえる	煮える	にやす	煮やす
はえる	生える	はやす	生やす
ひえる	冷える	ひやす	冷やす
ふえる	増える	ふやす	増やす
もえる	燃える	もやす	燃やす
もえる	絶える	たやす	絶やす
もえる	萌える	もやす	萌やす
-ieru:-esu
きえる	消える	けす	消す
-iru:-aseru
あきる	飽きる	あかせる	飽かせる
ほころびる	ほころびる	ほころばせる	ほころばせる
ほころびる	綻びる	ほころばせる	綻ばせる
-iru:-asu
あきる	飽きる	あかす	飽かす
いきる	活きる	いかす	活かす
いきる	生きる	いかす	生かす
つきる	つきる	つかす	つかす
つきる	尽きる	つかす	尽かす
とじる	閉じる	とざす	閉ざす
みちる	充ちる	みたす	充たす
みちる	満ちる	みたす	満たす
のびる	のびる	のばす	のばす
のびる	伸びる	のばす	伸ばす
のびる	延びる	のばす	延ばす
ほころびる	ほころびる	ほころばす	ほころばす
ほころびる	綻びる	ほころばす	綻ばす
-iru:-eru
まじる	交じる	まぜる	交ぜる
まじる	混じる	まぜる	混ぜる
のびる	のびる	のべる	のべる
のびる	伸びる	のべる	伸べる
のびる	延びる	のべる	延べる
-iru:-osu
おきる	起きる	おこす	起こす
すぎる	過ぎる	すごす	過ごす
おちる	堕ちる	おとす	堕とす
おちる	墜ちる	おとす	墜とす
おちる	落ちる	おとす	落とす
おっこちる	落っこちる	おっことす	落っことす
ひる	干る	ほす	干す
ほろびる	亡びる	ほろぼす	亡ぼす
ほろびる	滅びる	ほろぼす	滅ぼす
おりる	下りる	おろす	下ろす
おりる	降りる	おろす	降ろす
