-aru:-eru
#かかる	かかる	かける	かける
とどけでる	届け出る	とどけだす	届け出す
とびでる	跳び出る	とびだす	跳び出す
とびでる	飛び出る	とびだす	飛び出す
ながれでる	流れ出る	ながれだす	流れ出す
にげでる	逃げ出る	にげだす	逃げ出す
にじみでる	にじみ出る	にじみだす	にじみ出す
にじみでる	滲み出る	にじみだす	滲み出す
ぬきでる	抜き出る	ぬきだす	抜き出す
ぬけでる	抜け出る	ぬけだす	抜け出す
ぬけでる	脱け出る	ぬけだす	脱け出す
はいでる	はい出る	はいだす	はい出す
はいでる	這い出る	はいだす	這い出す
はみでる	はみ出る	はみだす	はみ出す
はみでる	食み出る	はみだす	食み出す
ふきでる	吹き出る	ふきだす	吹き出す
ふみでる	踏み出る	ふみだす	踏み出す
もれでる	漏れ出る	もれだす	漏れ出す
わきでる	わき出る	わきだす	わき出す
わきでる	湧き出る	わきだす	湧き出す
#のべる	延べる	のばす	延ばす
くりのべる	繰り延べる	くりのばす	繰り延ばす
#あれる	荒れる	あらす	荒らす
ふきあれる	吹き荒れる	ふきあらす	吹き荒らす
#きれる	切れる	きらす	切らす
とぎれる	途切れる	とぎらす	途切らす
#くれる	暮れる	くらす	暮らす
なきくれる	泣き暮れる	なきくらす	泣き暮らす
-ieru:-su
#きえる	消える	けす	消す
かききえる	かき消える	かきけす	かき消す
かききえる	掻き消える	かきけす	掻き消す
かききえる	吹き消える	ふきけす	吹き消す
-iru:-osu
#おきる	起きる	おこす	起こす
まきおきる	巻き起きる	まきおこす	巻き起こす
#おちる	落ちる	おとす	落とす
すべりおちる	すべり落ちる	すべりおとす	すべり落とす
すべりおちる	滑り落ちる	すべりおとす	滑り落とす
#おりる	下りる	おろす	下ろす
ふきおりる	吹き下りる	ふきおろす	吹き下ろす
#おりる	降りる	おろす	降ろす
ふきおりる	吹き降りる	ふきおろす	吹き降ろす
-oru:-eru
#こもる	こもる	こめる	こめる
とじこもる	閉じこもる	とじこめる	閉じこめる
-reru:-su
#たおれる	倒れる	たおす	倒す
ぶったおれる	ぶっ倒れる	ぶったおす	ぶっ倒す
#ながれる	流れる	ながす	流す
たれながれる	たれ流れる	たれながす	たれ流す
たれながれる	垂れ流れる	たれながす	垂れ流す
ふきながれる	吹き流れる	ふきながす	吹き流す
#くずれる	崩れる	くずす	崩す
きくずれる	着崩れる	きくずす	着崩す
にくずれる	煮崩れる	にくずす	煮崩す
#はなれる	離れる	はなす	離す
きりはなれる	切り離れる	きりはなす	切り離す
#つぶれる	つぶれる	つぶす	つぶす
のみつぶれる	飲みつぶれる	のみつぶす	飲みつぶす
ぶっつぶれる	ぶっつぶれる	ぶっつぶす	ぶっつぶす
よいつぶれる	酔いつぶれる	よいつぶす	酔いつぶす
#つぶれる	潰れる	つぶす	潰す
のみつぶれる	飲み潰れる	のみつぶす	飲み潰す
ぶっつぶれる	ぶっ潰れる	ぶっつぶす	ぶっ潰す
よいつぶれる	酔い潰れる	よいつぶす	酔い潰す
#こぼれる	こぼれる	こぼす	こぼす
にこぼれる	煮こぼれる	にこぼす	煮こぼす
ふきこぼれる	ふきこぼれる	ふきこぼす	ふきこぼす
ふきこぼれる	吹きこぼれる	ふきこぼす	吹きこぼす
#こわれる	壊れる	こわす	壊す
ぶっこわれる	ぶっ壊れる	ぶっこわす	ぶっ壊す
-ru:-eru
#みる	見る	みえる	見える	i
かいまみる	かいま見る	かいまみえる	かいま見える	i
かいまみる	垣間見る	かいまみえる	垣間見える	i
のぞきみる	のぞき見る	のぞきみえる	のぞき見える	i
のぞきみる	覗き見る	のぞきみえる	覗き見える	i
-ru:-seru
#みる	見る	みせる	見せる
かいまみる	かいま見る	かいまみせる	かいま見せる
かいまみる	垣間見る	かいまみせる	垣間見せる
#よる	寄る	よせる	寄せる
かたよる	片寄る	かたよせる	片寄せる
すりよる	すり寄る	すりよせる	すり寄せる
すりよる	擦り寄る	すりよせる	擦り寄せる
せめよる	攻め寄る	せめよせる	攻め寄せる
ちかよる	近寄る	ちかよせる	近寄せる
-ru:-su
#かえる	かえる	かえす	かえす
ひるがえる	ひるがえる	ひるがえす	ひるがえす
#かえる	返る	かえす	返す
いきかえる	生き返る	いきかえす	生き返す
うらがえる	裏返る	うらがえす	裏返す
そりかえる	そり返る	そりかえす	そり返す
そりかえる	反り返る	そりかえす	反り返す
はねかえる	はね返る	はねかえす	はね返す
はねかえる	撥ね返る	はねかえす	撥ね返す
はねかえる	跳ね返る	はねかえす	跳ね返す
ひっくりかえる	ひっくり返る	ひっくりかえす	ひっくり返す
ひっくりかえる	引っくり返る	ひっくりかえす	引っくり返す
ひっくりかえる	引っ繰り返る	ひっくりかえす	引っ繰り返す
ふりかえる	振り返る	ふりかえす	振り返す
みかえる	見返る	みかえす	見返す
#とおる	通る	とおす	通す
おしとおる	押し通る	おしとおす	押し通す
つきとおる	突き通る	つきとおす	突き通す
#ころがる	転がる	ころがす	転がす
ねころがる	寝転がる	ねころがす	寝転がす
ねっころがる	寝っ転がる	ねっころがす	寝っ転がす
#おこる	起こる	おこす	起こす
ひきおこる	引き起こる	ひきおこす	引き起こす
まきおこる	巻き起こる	まきおこす	巻き起こす
わきおこる	わき起こる	わきおこす	わき起こす
わきおこる	沸き起こる	わきおこす	沸き起こす
わきおこる	湧き起こる	わきおこす	湧き起こす
#のこる	残る	のこす	残す
おもいのこる	思い残る	おもいのこす	思い残す
#もどる	戻る	もどす	戻す
つれもどる	連れ戻る	つれもどす	連れ戻す
ひきもどる	引き戻る	ひきもどす	引き戻す
まきもどる	巻き戻る	まきもどす	巻き戻す
#まわる	回る	まわす	回す
かぎまわる	かぎ回る	かぎまわす	かぎ回す
かぎまわる	嗅ぎ回る	かぎまわす	嗅ぎ回す
つれまわる	連れ回る	つれまわす	連れ回す
みまわる	見回る	みまわす	見回す
-u:-aru
#ふさぐ	ふさぐ	ふさがる	ふさがる	i
たちふさぐ	立ちふさぐ	たちふさがる	立ちふさがる	i
#ふさぐ	塞ぐ	ふさがる	塞がる	i
ふさぐ	立ち塞ぐ	たちふさがる	立ち塞がる	i
